Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2008-06-30,87.448166,58.65469,75.248726,176.292206,347.332397,217.327164,625.800415,309.803864,173.03981,498.968872,169.689575,51.777058,49.713207,263.650421,44.285519,112.287193,390.953186,84.838127,581.242493,60.412594,64.751152,437.787201,38.548744,100.690117,60.843285,31.276222,534.336731,361.074158,99.82402,15.18624
2008-07-01,84.702354,55.123154,73.83387,174.844147,340.377625,217.327164,614.367981,289.76236,166.7556,498.530365,162.77356,48.433163,48.933563,259.941528,43.444824,108.19693,383.279297,76.976418,534.432739,58.599552,60.836926,427.529144,35.538239,99.124672,58.268272,31.276222,511.960754,356.007813,94.832237,14.71437
2008-07-02,85.590958,53.608902,79.26265,175.724731,358.282043,217.327164,616.514343,321.928375,176.190567,499.626556,164.79071,51.185543,50.997314,276.697845,42.533085,117.436989,411.358459,82.031212,543.559326,63.360184,63.168797,448.213409,37.43195,100.469566,58.974426,31.276222,543.763672,369.12558,100.268463,15.059965
2008-07-03,78.997467,52.347466,72.269432,159.541595,341.412384,217.327164,608.581726,305.557159,169.845917,483.768799,161.74437,47.147121,48.566681,265.633545,40.105644,104.496239,400.059082,90.699753,516.414307,63.712574,61.8363,433.15509,38.205387,99.728432,55.70047,31.276222,482.322266,359.434418,97.977745,13.83709
2008-07-04,80.063797,52.60281,74.737633,164.453308,344.757446,217.327164,602.422058,324.493591,172.608215,488.884247,165.984543,49.349121,49.162868,266.788605,40.44902,109.596382,426.16803,92.203087,517.9198,64.980583,62.669117,438.990204,39.105415,95.845581,57.184109,31.276222,469.593597,354.746552,97.806801,14.594743
2008-07-07,83.076172,53.624237,75.155228,168.856186,349.738922,217.327164,596.729248,324.422516,173.704483,505.472626,172.447708,49.603973,47.466015,273.749359,42.059422,113.200684,423.472473,96.256165,540.407471,65.781441,64.209808,424.172821,40.640152,95.252678,56.000027,31.276222,478.14035,358.21524,100.29129,14.754246
2008-07-08,82.054298,52.487919,75.840828,170.24556,342.639679,217.327164,606.061951,317.468506,172.901688,510.149475,172.571259,48.790604,47.64946,263.84021,40.697674,117.630814,429.812012,100.027657,535.420593,64.635773,65.750519,413.809418,41.774292,94.142776,53.688984,31.276222,477.883972,347.578033,95.6642,15.385623
2008-07-09,98.458038,52.847958,83.488495,176.311768,359.725952,217.327164,611.801453,330.7453,182.785507,532.730469,177.470078,51.095165,49.621479,276.773773,43.456688,126.603065,450.001984,103.615303,553.862366,65.032654,70.20607,435.005615,42.955261,95.212906,57.711971,31.276222,497.324646,368.158539,98.855301,15.857494
2008-07-10,101.443787,53.021587,84.641563,193.395035,357.006622,217.327164,609.701599,334.281555,182.077652,502.62265,179.281403,56.132462,54.207569,274.509308,42.438305,126.116127,453.351074,104.090828,534.15033,65.36232,73.495674,427.50827,42.807861,95.567207,56.99152,31.276222,512.767639,365.362671,98.239861,15.904016
2008-07-11,96.911842,53.675301,83.469803,195.938919,358.570862,217.327164,604.102112,315.82663,184.287506,488.299744,176.852585,53.839321,50.630417,254.789337,41.313435,123.097137,422.111481,102.975349,530.527893,62.97488,70.039497,421.714996,42.391663,95.223755,57.012882,31.276222,488.704712,336.01593,93.977486,15.498606
2008-07-14,95.099083,53.726368,79.256416,196.15419,354.648193,217.327164,612.641418,305.146606,178.288162,480.991852,180.47525,52.774105,50.401123,236.498672,39.951691,120.685165,428.253418,105.971924,535.326538,65.017502,70.247711,428.072937,43.621178,96.687958,58.410973,31.276222,501.873108,323.297668,92.176804,15.704633
2008-07-15,87.030518,53.103313,74.363655,187.700607,341.701141,217.327164,603.4021,284.213104,158.209793,477.593842,174.259094,48.173515,46.044331,234.674881,37.962391,113.312073,408.206818,101.220711,516.508423,62.659428,66.958084,413.432922,40.849979,94.695915,57.633511,31.276222,474.655487,315.204163,86.147934,14.275731
2008-07-16,84.968925,51.305618,72.855316,176.272644,351.519775,217.327164,588.049744,271.615234,155.999985,466.778503,177.346542,47.290665,45.494007,235.214752,41.130173,109.234627,406.57663,95.731789,515.473389,64.238907,65.708885,406.855011,39.495605,94.13916,56.406628,31.276222,459.029266,305.807251,84.620766,13.996598
2008-07-17,84.880081,52.669212,79.219025,181.986618,360.423798,217.327164,596.915894,298.168884,165.408997,481.50354,180.969269,50.166607,46.502937,240.563858,42.435314,114.696365,437.010406,99.669289,564.259277,67.012527,68.373863,421.537659,42.558136,94.103004,58.710529,31.276222,445.604431,327.607208,86.569611,14.667849
2008-07-18,83.209473,53.818295,85.613884,180.029785,386.005096,217.327164,616.281067,326.403839,178.434891,497.032318,180.886932,56.21006,48.337383,235.282837,44.703411,115.16172,455.759674,100.900337,586.887878,69.896957,72.413017,441.844543,45.077877,93.853561,59.944557,31.276222,447.145447,334.229065,83.321533,15.977122
2008-07-21,84.782333,54.134941,86.960182,194.432175,384.296509,217.327164,630.560059,329.213989,186.96344,523.778381,187.679428,58.621819,47.970482,237.36496,45.400341,116.802681,450.020569,102.451744,609.893005,70.834846,76.57708,450.346588,46.734009,98.828217,59.923115,31.276222,451.559448,342.007263,84.939873,15.585005
2008-07-22,91.633514,54.602238,92.251823,193.649399,374.814819,217.327164,585.810059,338.757202,189.976044,530.501465,191.466797,60.187111,48.383232,239.971161,48.124584,124.945808,460.53183,105.864883,553.203613,71.665527,79.700127,450.555725,48.476841,101.113113,58.760487,31.276222,471.062775,350.794281,89.977249,15.937244
2008-07-23,98.218109,56.790619,95.41188,203.218414,392.743347,217.327164,590.382996,375.761993,208.163986,546.468811,190.231812,67.190651,53.840691,243.732971,48.58075,141.760101,495.433044,107.474464,571.127808,73.775322,85.196678,473.812439,53.544071,104.395805,62.419598,31.276222,503.24176,360.947998,92.940376,18.608957
2008-07-24,103.691956,57.199169,94.931923,204.705582,384.055817,217.327164,596.355896,371.743988,209.622818,556.882202,187.597107,66.148468,52.969334,237.94249,48.111889,141.820816,485.494904,105.632156,581.383667,76.173874,82.36512,482.398102,51.274044,105.791321,62.712078,31.276222,476.080139,337.508423,92.860603,17.525652
2008-07-25,104.598335,56.943825,88.817551,198.541504,383.333923,217.327164,592.389526,350.715851,194.594254,553.73999,191.178635,59.782154,54.207569,235.617218,47.833179,137.070374,470.17511,104.768799,578.090576,72.892578,82.573326,449.102631,50.247425,102.233841,60.864655,31.276222,466.196686,335.511353,92.609871,16.927507
